channel,attention,cued_side,timepoint,erp,time
PO3,0,0,22,9.419229801110489e-08,0.009999999999999995
O1,0,0,22,-1.4401998189025293e-07,0.009999999999999995
Pz,0,0,22,3.2579624006247613e-07,0.009999999999999995
POz,0,0,22,1.396833383630294e-07,0.009999999999999995
Oz,0,0,22,-5.615084792702403e-07,0.009999999999999995
Iz,0,0,22,-8.698888522676522e-07,0.009999999999999995
O2,0,0,23,-3.706084195013341e-07,0.015
PO4,0,0,23,-5.144004384913453e-07,0.015
P4,0,0,23,2.7048772601815757e-07,0.015
P6,0,0,23,-6.353079858493712e-07,0.015
P2,0,0,23,4.2752766212583856e-07,0.015
P1,0,0,23,4.011985227408803e-07,0.015
P3,0,0,23,4.3106036956369927e-07,0.015
P5,0,0,23,-1.0468139263841387e-07,0.015
PO3,0,0,23,-3.81432531553411e-07,0.015
O1,0,0,23,-7.013240625742968e-07,0.015
Pz,0,0,23,-6.157149023913534e-09,0.015
POz,0,0,23,-1.2586066403597936e-07,0.015
Oz,0,0,23,-9.742413858390169e-07,0.015
Iz,0,0,23,-1.1313132484644208e-06,0.015
O2,0,0,24,-3.174408443686189e-07,0.01999999999999999
PO4,0,0,24,-4.6403258185298065e-07,0.01999999999999999
P4,0,0,24,3.904202823558737e-07,0.01999999999999999
P6,0,0,24,-1.3624188231172973e-07,0.01999999999999999
P2,0,0,24,6.75781907017734e-07,0.01999999999999999
P1,0,0,24,2.291509992781992e-07,0.01999999999999999
P3,0,0,24,3.6740075881601615e-07,0.01999999999999999
P5,0,0,24,-4.8235210560728534e-08,0.01999999999999999
PO3,0,0,24,-3.676254152035836e-07,0.01999999999999999
O1,0,0,24,-4.833705232131816e-07,0.01999999999999999
Pz,0,0,24,7.377388023287485e-08,0.01999999999999999
POz,0,0,24,-9.87573174416707e-08,0.01999999999999999
Oz,0,0,24,-8.71376630056135e-07,0.01999999999999999
Iz,0,0,24,-8.486817512683838e-07,0.01999999999999999
O2,0,0,25,-1.54397166120151e-07,0.024999999999999994
PO4,0,0,25,-4.203510488584484e-07,0.024999999999999994
P4,0,0,25,4.625553162941361e-07,0.024999999999999994
P6,0,0,25,-2.2814567591507563e-07,0.024999999999999994
P2,0,0,25,4.5186935319085623e-07,0.024999999999999994
P1,0,0,25,1.0169860529315808e-07,0.024999999999999994
P3,0,0,25,4.97808002472136e-07,0.024999999999999994
P5,0,0,25,2.3173703210516374e-07,0.024999999999999994
PO3,0,0,25,-4.159612161127442e-07,0.024999999999999994
O1,0,0,25,-4.857334772637659e-07,0.024999999999999994
Pz,0,0,25,-2.3083964715436523e-07,0.024999999999999994
POz,0,0,25,-4.360044063682704e-07,0.024999999999999994
Oz,0,0,25,-8.489135257578413e-07,0.024999999999999994
Iz,0,0,25,-6.719062020359464e-07,0.024999999999999994
O2,0,0,26,-7.922940101469987e-08,0.03
PO4,0,0,26,-2.674537345405164e-07,0.03
P4,0,0,26,5.73119408201379e-07,0.03
P6,0,0,26,-1.73121395824756e-09,0.03
P2,0,0,26,3.572420858451737e-07,0.03
P1,0,0,26,5.682811975312677e-08,0.03
P3,0,0,26,4.2668270725972273e-07,0.03
P5,0,0,26,2.8475777349261256e-08,0.03
PO3,0,0,26,-6.042232125864777e-07,0.03
O1,0,0,26,-8.280806652862608e-07,0.03
Pz,0,0,26,-1.5214087158879877e-07,0.03
POz,0,0,26,-6.036392975675132e-07,0.03
Oz,0,0,26,-8.718501832933802e-07,0.03
Iz,0,0,26,-8.307080446551432e-07,0.03
O2,0,0,27,1.6285473821734038e-07,0.035
PO4,0,0,27,-5.971978590014908e-09,0.035
P4,0,0,27,7.585960037865869e-07,0.035
P6,0,0,27,1.1716343113924301e-07,0.035
P2,0,0,27,3.2217439389540094e-07,0.035
P1,0,0,27,3.9872433950077924e-08,0.035
P3,0,0,27,4.067995738992813e-07,0.035
P5,0,0,27,-8.80673348091228e-08,0.035
PO3,0,0,27,-3.985815775234244e-07,0.035
O1,0,0,27,-5.686711558046202e-07,0.035
Pz,0,0,27,-2.621648431588545e-07,0.035
POz,0,0,27,-6.083176716591747e-07,0.035
Oz,0,0,27,-5.519387942857312e-07,0.035
Iz,0,0,27,-5.580008680126302e-07,0.035
O2,0,0,28,7.863498468196327e-07,0.04000000000000001
PO4,0,0,28,3.175038518516565e-07,0.04000000000000001
P4,0,0,28,8.608818888947282e-07,0.04000000000000001
P6,0,0,28,6.267401210224492e-07,0.04000000000000001
P2,0,0,28,4.2186294890954217e-07,0.04000000000000001
P1,0,0,28,1.3115953587213535e-07,0.04000000000000001
P3,0,0,28,2.589302568494891e-07,0.04000000000000001
P5,0,0,28,-4.1617214543423295e-08,0.04000000000000001
PO3,0,0,28,-3.600040129787427e-07,0.04000000000000001
O1,0,0,28,-1.5716084901706846e-08,0.04000000000000001
Pz,0,0,28,-2.8061311878269323e-07,0.04000000000000001
POz,0,0,28,-3.306917814687694e-07,0.04000000000000001
Oz,0,0,28,-8.006944409248834e-08,0.04000000000000001
Iz,0,0,28,-7.508509431367766e-08,0.04000000000000001
O2,0,0,29,8.806246494094725e-07,0.044999999999999984
PO4,0,0,29,2.7327406514808983e-07,0.044999999999999984
P4,0,0,29,8.242377101170723e-07,0.044999999999999984
P6,0,0,29,5.844692388508528e-07,0.044999999999999984
P2,0,0,29,2.544980897110718e-07,0.044999999999999984
P1,0,0,29,-7.398438696770361e-10,0.044999999999999984
P3,0,0,29,7.40651123101405e-08,0.044999999999999984
P5,0,0,29,-4.173223714891659e-08,0.044999999999999984
PO3,0,0,29,-4.5218047674452724e-07,0.044999999999999984
O1,0,0,29,-1.571585996397029e-07,0.044999999999999984
Pz,0,0,29,-4.0774137243736443e-07,0.044999999999999984
POz,0,0,29,-4.418892334960532e-07,0.044999999999999984
Oz,0,0,29,-2.127804572945986e-07,0.044999999999999984
Iz,0,0,29,-2.1595679033414485e-07,0.044999999999999984
O2,0,0,30,1.4365236077399221e-06,0.04999999999999999
PO4,0,0,30,7.435508495462236e-07,0.04999999999999999
P4,0,0,30,8.531460002774851e-07,0.04999999999999999
P6,0,0,30,7.456848145434983e-07,0.04999999999999999
P2,0,0,30,5.327706206718471e-07,0.04999999999999999
P1,0,0,30,2.477683893646725e-07,0.04999999999999999
P3,0,0,30,1.4480557855516645e-07,0.04999999999999999
P5,0,0,30,-2.7687896466035482e-08,0.04999999999999999
PO3,0,0,30,-2.888110169923616e-07,0.04999999999999999
O1,0,0,30,2.4178632586214063e-07,0.04999999999999999
Pz,0,0,30,-1.5430786984884664e-07,0.04999999999999999
POz,0,0,30,8.066691864967645e-08,0.04999999999999999
Oz,0,0,30,4.4809191153265474e-07,0.04999999999999999
Iz,0,0,30,3.997668414277874e-07,0.04999999999999999
O2,0,0,31,9.2238842000863e-07,0.05499999999999999
PO4,0,0,31,3.959398367074198e-07,0.05499999999999999
P4,0,0,31,5.3886572106754e-07,0.05499999999999999
P6,0,0,31,3.729196406594624e-07,0.05499999999999999
P2,0,0,31,3.128168753784304e-07,0.05499999999999999
P1,0,0,31,3.7776103326565574e-07,0.05499999999999999
P3,0,0,31,3.7715461400195354e-07,0.05499999999999999
P5,0,0,31,4.163364995674782e-07,0.05499999999999999
PO3,0,0,31,-3.091843207080872e-07,0.05499999999999999
O1,0,0,31,-6.883466016458498e-08,0.05499999999999999
Pz,0,0,31,-1.450969864361683e-07,0.05499999999999999
POz,0,0,31,-5.901807644019544e-09,0.05499999999999999
Oz,0,0,31,-2.5808699880140957e-08,0.05499999999999999
Iz,0,0,31,-1.813389859960852e-07,0.05499999999999999
O2,0,0,32,9.950101225258744e-07,0.06
PO4,0,0,32,6.189970587096164e-07,0.06
P4,0,0,32,4.735933161182806e-07,0.06
P6,0,0,32,4.251236928229153e-07,0.06
P2,0,0,32,3.8585096376634155e-07,0.06
P1,0,0,32,5.81328691167361e-07,0.06
P3,0,0,32,4.2490089497069564e-07,0.06
P5,0,0,32,1.7288689176551342e-07,0.06
PO3,0,0,32,-1.295582831317372e-07,0.06
O1,0,0,32,1.6631493571994266e-07,0.06
Pz,0,0,32,-2.8720106608474174e-08,0.06
POz,0,0,32,2.1140557380308763e-07,0.06
Oz,0,0,32,1.7023370456813943e-07,0.06
Iz,0,0,32,1.7074608405120709e-07,0.06
O2,0,0,33,1.3100163988525348e-06,0.065
PO4,0,0,33,8.961453635818737e-07,0.065
P4,0,0,33,9.467441298720336e-07,0.065
P6,0,0,33,5.631494284070194e-07,0.065
P2,0,0,33,6.648052750571304e-07,0.065
P1,0,0,33,9.735620426074334e-07,0.065
P3,0,0,33,8.451786604493144e-07,0.065
P5,0,0,33,6.008951098118407e-07,0.065
PO3,0,0,33,4.122627570574284e-07,0.065
O1,0,0,33,4.022305309786325e-07,0.065
Pz,0,0,33,3.670655510506095e-07,0.065
POz,0,0,33,7.680412805157126e-07,0.065
Oz,0,0,33,4.7372522785651394e-07,0.065
Iz,0,0,33,1.5156905051347272e-07,0.065
O2,0,0,34,1.3081265038311228e-06,0.07
PO4,0,0,34,7.757093199684803e-07,0.07
P4,0,0,34,5.901883296974044e-07,0.07
P6,0,0,34,8.981811876003582e-08,0.07
P2,0,0,34,4.875201454897764e-07,0.07
P1,0,0,34,1.0935810629425587e-06,0.07
P3,0,0,34,9.515960048124809e-07,0.07
P5,0,0,34,7.315998683294065e-07,0.07
PO3,0,0,34,6.688770280548477e-07,0.07
O1,0,0,34,1.0035503718094178e-06,0.07
Pz,0,0,34,3.072389664927667e-07,0.07
POz,0,0,34,9.14759441100371e-07,0.07
